,duichanghao,hang,lie,x,y
5313,21,5,13,66865.86,-4508.2
5314,21,5,14,67499.06,-4508.3
5315,21,5,15,68132.26,-4508.4
5316,21,5,16,68765.46,-4508.5
5317,21,5,17,69398.66,-4508.6
5318,21,5,18,70031.86,-4508.7
5319,21,5,19,70665.06,-4508.8
5320,21,5,20,71298.26,-4508.9
5321,21,5,21,71931.46,-4509
5322,21,5,22,72564.66,-4509.1
5323,21,5,23,73197.86,-4509.2
5324,21,5,24,73831.06,-4509.3
5325,21,5,25,74464.26,-4509.4
5326,21,5,26,75097.46,-4509.5
5327,21,5,27,75730.66,-4509.6
5328,21,5,28,76363.86,-4509.7
5329,21,5,29,76997.06,-4509.8
5330,21,5,30,77630.26,-4509.9
5331,21,5,31,78263.46,-4510
5332,21,5,32,78896.66,-4510.1
5333,21,5,33,79529.86,-4510.2
5334,21,5,34,80163.06,-4510.3
5335,21,5,35,80796.26,-4510.4
5336,21,5,36,81429.46,-4510.5
5337,21,5,37,82062.66,-4510.6
5338,21,5,38,82695.86,-4510.7
5339,21,5,39,83329.06,-4510.8
5340,21,5,40,83962.26,-4510.9
5341,21,5,41,84595.46,-4511
5342,21,5,42,85228.66,-4511.1
5343,21,5,43,85861.86,-4511.2
5344,21,5,44,86495.06,-4511.3
5345,21,6,1,59268.6,-4785.5
5346,21,6,2,59901.8,-4785.6
5347,21,6,3,60535,-4785.7
5348,21,6,4,61168.2,-4785.8
5349,21,6,5,61801.4,-4785.9
5350,21,6,6,62434.6,-4786
5351,21,6,7,63067.8,-4786.1
5352,21,6,8,63701,-4786.2
5353,21,6,9,64334.2,-4786.3
5354,21,6,10,64967.4,-4786.4
5355,21,6,11,65600.6,-4786.5
5356,21,6,12,66233.8,-4786.6
5357,21,6,13,66867,-4786.7
5358,21,6,14,67500.2,-4786.8
5359,21,6,15,68133.4,-4786.9
5360,21,6,16,68766.6,-4787
5361,21,6,17,69399.8,-4787.1
5362,21,6,18,70033,-4787.2
5363,21,6,19,70666.2,-4787.3
5364,21,6,20,71299.4,-4787.4
5365,21,6,21,71932.6,-4787.5
5366,21,6,22,72565.8,-4787.6
5367,21,6,23,73199,-4787.7
5368,21,6,24,73832.2,-4787.8
5369,21,6,25,74465.4,-4787.9
5370,21,6,26,75098.6,-4788
5371,21,6,27,75731.8,-4788.1
5372,21,6,28,76365,-4788.2
5373,21,6,29,76998.2,-4788.3
5374,21,6,30,77631.4,-4788.4
5375,21,6,31,78264.6,-4788.5
5376,21,6,32,78897.8,-4788.6
5377,21,6,33,79531,-4788.7
5378,21,6,34,80164.2,-4788.8
5379,21,6,35,80797.4,-4788.9
5380,21,6,36,81430.6,-4789
5381,21,6,37,82063.8,-4789.1
5382,21,6,38,82697,-4789.2
5383,21,6,39,83330.2,-4789.3
5384,21,6,40,83963.4,-4789.4
5385,21,6,41,84596.6,-4789.5
5386,21,6,42,85229.8,-4789.6
5387,21,6,43,85863,-4789.7
5388,21,6,44,86496.2,-4789.8
5389,22,1,1,59263.6,-6166.9
5390,22,1,2,59896.8,-6167
5391,22,1,3,60530,-6167.1
5392,22,1,4,61163.2,-6167.2
5393,22,1,5,61796.4,-6167.3
5394,22,1,6,62429.6,-6167.4
5395,22,1,7,63062.8,-6167.5
5396,22,1,8,63696,-6167.6
5397,22,1,9,64329.2,-6167.7
5398,22,1,10,64962.4,-6167.8
5399,22,1,11,65595.6,-6167.9
5400,22,1,12,66228.8,-6168
5401,22,1,13,66862,-6168.1
5402,22,1,14,67495.2,-6168.2
5403,22,1,15,68128.4,-6168.3
5404,22,1,16,68761.6,-6168.4
5405,22,1,17,69394.8,-6168.5
5406,22,1,18,70028,-6168.6
5407,22,1,19,70661.2,-6168.7
5408,22,1,20,71294.4,-6168.8
